Iteration,BestIndex_Iter,Fitness_Iter,BlosumScore_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,0,-16774.2000,-16775.0,0.8000,32,9.2035
2,0,-16774.2000,-16775.0,0.8000,64,7.2721
3,0,-16774.2000,-16775.0,0.8000,96,7.6015
4,0,-16774.2000,-16775.0,0.8000,128,4.5490
5,0,-16774.2000,-16775.0,0.8000,160,4.7636
6,0,-16774.2000,-16775.0,0.8000,192,4.8052
7,0,-16774.2000,-16775.0,0.8000,224,4.6449
8,0,-16774.2000,-16775.0,0.8000,256,5.0460
9,0,-16774.2000,-16775.0,0.8000,288,4.7137
10,0,-16774.2000,-16775.0,0.8000,320,4.6129
11,0,-16774.2000,-16775.0,0.8000,352,4.5575
12,0,-16774.2000,-16775.0,0.8000,384,5.3612
13,0,-16774.2000,-16775.0,0.8000,416,5.1877
14,0,-16774.2000,-16775.0,0.8000,448,4.6873
15,0,-16774.2000,-16775.0,0.8000,480,4.9044
16,0,-16774.2000,-16775.0,0.8000,512,4.8601
17,0,-16774.2000,-16775.0,0.8000,544,6.3615
18,0,-16774.2000,-16775.0,0.8000,576,5.9357
19,0,-16774.2000,-16775.0,0.8000,608,5.4591
20,0,-16774.2000,-16775.0,0.8000,640,5.0888
21,0,-16774.2000,-16775.0,0.8000,672,5.0832
22,0,-16774.2000,-16775.0,0.8000,704,5.1092
23,0,-16774.2000,-16775.0,0.8000,736,5.2700
24,0,-16774.2000,-16775.0,0.8000,768,5.3182
25,0,-16774.2000,-16775.0,0.8000,800,5.2331
26,0,-16774.2000,-16775.0,0.8000,832,5.2801
27,0,-16774.2000,-16775.0,0.8000,864,5.6588
28,0,-16774.2000,-16775.0,0.8000,896,5.2117
29,0,-16774.2000,-16775.0,0.8000,928,5.0358
30,0,-16774.2000,-16775.0,0.8000,960,5.1595
