Iteration,BestIndex_Iter,Fitness_Iter,SPS_Afin_Score_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,6,-16775.9762,-16779.0,3.0238,200,3.7323
2,1,-16773.1163,-16779.0,5.8837,400,5.4010
3,0,-16766.9999,-16779.0,12.0001,600,5.8571
4,2,-16774.2392,-16779.0,4.7608,800,8.0996
5,2,-16772.9585,-16779.0,6.0415,1000,4.9305
6,0,-16774.1252,-16779.0,4.8748,1200,8.7048
7,5,-16769.2842,-16779.0,9.7158,1400,4.2440
8,1,-16771.4296,-16779.0,7.5704,1600,5.4679
9,1,-16767.6544,-16779.0,11.3456,1800,3.8499
10,5,-16774.2887,-16779.0,4.7113,2000,9.0268
11,2,-16773.0018,-16779.0,5.9982,2200,8.6607
12,1,-16771.7407,-16779.0,7.2593,2400,8.4436
13,2,-16773.7601,-16779.0,5.2399,2600,6.1589
14,0,-16771.9639,-16779.0,7.0361,2800,6.8127
15,0,-16769.0843,-16779.0,9.9157,3000,8.9235
16,4,-16773.5846,-16779.0,5.4154,3200,8.3149
17,7,-16746.1028,-16754.0,7.8972,3400,8.7234
18,2,-16773.0008,-16779.0,5.9992,3600,4.6377
19,1,-16774.4101,-16779.0,4.5899,3800,4.5582
20,7,-16746.0690,-16754.0,7.9310,4000,4.8170
21,0,-16682.2887,-16688.0,5.7113,4200,13.2062
22,0,-16583.7418,-16591.0,7.2582,4400,9.0320
23,8,-16769.4916,-16774.0,4.5084,4600,8.1448
24,1,-16681.5501,-16686.0,4.4499,4800,5.1915
25,0,-16957.9115,-16961.0,3.0885,5000,4.8407
26,9,-16641.6191,-16646.0,4.3809,5200,8.9743
27,4,-16588.8269,-16591.0,2.1731,5400,7.0188
28,7,-17105.4802,-17108.0,2.5198,5600,5.8979
29,0,-16584.4069,-16591.0,6.5931,5800,8.0383
30,3,-16589.0686,-16591.0,1.9314,6000,6.4771
31,3,-16752.2654,-16754.0,1.7346,6200,8.6574
32,5,-16751.6271,-16754.0,2.3729,6400,7.7677
33,1,-16585.8353,-16591.0,5.1647,6600,5.3054
34,3,-16588.7927,-16591.0,2.2073,6800,5.7095
35,6,-16649.3355,-16652.0,2.6645,7000,6.5743
36,5,-17101.4304,-17104.0,2.5696,7200,5.8736
37,2,-16751.0849,-16754.0,2.9151,7400,6.0547
38,4,-16586.6592,-16591.0,4.3408,7600,6.2363
39,3,-16587.9744,-16591.0,3.0256,7800,4.1090
40,7,-16588.1539,-16591.0,2.8461,8000,8.5957
41,5,-16750.6993,-16753.0,2.3007,8200,5.1266
42,8,-16615.8546,-16619.0,3.1454,8400,12.4376
43,5,-16746.5450,-16751.0,4.4550,8600,7.2756
44,2,-16588.2055,-16591.0,2.7945,8800,7.7248
45,9,-16687.5032,-16691.0,3.4968,9000,6.2379
46,0,-16587.1694,-16591.0,3.8306,9200,6.6894
47,4,-16584.9295,-16591.0,6.0705,9400,7.6084
48,5,-16741.6718,-16744.0,2.3282,9600,10.3739
49,1,-16588.0778,-16591.0,2.9222,9800,6.9923
50,5,-16744.9987,-16749.0,4.0013,10000,8.0649
